Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
013C1061  push aminstantservice-8.50.2.0.152D7B8                            "    usage: aminstantservice COMMAND...\n"
013C1075  push aminstantservice-8.50.2.0.152D7E4                            "    commands:\n"
013C1098  push aminstantservice-8.50.2.0.152D7F4                            "      %-10s  -  %s\n"
013C10D6  push aminstantservice-8.50.2.0.152D80C                            "aminstantservice v%d.%d.%d\n"
013C111C  mov edx,aminstantservice-8.50.2.0.152D828                         "--console"
013C114C  mov edx,aminstantservice-8.50.2.0.152D834                         "--help"
013C117C  mov edx,aminstantservice-8.50.2.0.152D83C                         "--version"
013C166E  push aminstantservice-8.50.2.0.152DD88                            "invalid string position"
013C185D  push aminstantservice-8.50.2.0.152DD78                            "string too long"
013C1915  push aminstantservice-8.50.2.0.152DD88                            "invalid string position"
013C1951  push aminstantservice-8.50.2.0.152DD78                            "string too long"
013C1A5F  push aminstantservice-8.50.2.0.152DD78                            "string too long"
013C1B43  push aminstantservice-8.50.2.0.152D848                            "*\\GameHouseApp.exe"
013C1FDF  push aminstantservice-8.50.2.0.152D85C                            "gamehouse.com"
013C202B  push aminstantservice-8.50.2.0.152D86C                            "gamehousebeta.com"
013C2076  push aminstantservice-8.50.2.0.152D880                            "zibbo.com"
013C20C1  push aminstantservice-8.50.2.0.152D88C                            "zylom.com"
013C210C  push aminstantservice-8.50.2.0.152D898                            "trygames.com"
013C21CF  push aminstantservice-8.50.2.0.152DB34                            "activeMARK Instant Service"
013C21F6  push aminstantservice-8.50.2.0.152DB50                            "AMInstantService"
013C22CB  push aminstantservice-8.50.2.0.152DB64                            "%s"
013C22FC  push aminstantservice-8.50.2.0.152DB68                            "Service has been successfully started!"
013C23AF  push aminstantservice-8.50.2.0.152DB90                            "activeMARK Instant Service"
013C23D6  push aminstantservice-8.50.2.0.152DBAC                            "AMInstantService"
013C24AB  push aminstantservice-8.50.2.0.152DBC0                            "%s"
013C24DC  push aminstantservice-8.50.2.0.152DBC4                            "Service has been successfully stopped!"
013C2573  push aminstantservice-8.50.2.0.152DBEC                            "Enhances gaming experience from the web browsers"
013C2595  push aminstantservice-8.50.2.0.152DC20                            "activeMARK Instant Service"
013C25BC  push aminstantservice-8.50.2.0.152DC3C                            "AMInstantService"
013C2684  push aminstantservice-8.50.2.0.152DC50                            "--service-run"
013C26FA  push aminstantservice-8.50.2.0.152DC60                            "%s"
013C272B  push aminstantservice-8.50.2.0.152DC64                            "Service has been successfully installed!"
013C27C4  push aminstantservice-8.50.2.0.152DC90                            "Enhances gaming experience from the web browsers"
013C27E0  push aminstantservice-8.50.2.0.152DCC4                            "activeMARK Instant Service"
013C2807  push aminstantservice-8.50.2.0.152DCE0                            "AMInstantService"
013C298F  push aminstantservice-8.50.2.0.152DCF4                            "activeMARK Instant Service"
013C29B6  push aminstantservice-8.50.2.0.152DD10                            "AMInstantService"
013C2A8B  push aminstantservice-8.50.2.0.152DD24                            "%s"
013C2ABC  push aminstantservice-8.50.2.0.152DD28                            "Service has been successfully uninstalled!"
013C2B52  push aminstantservice-8.50.2.0.152DDB4                            "invalid map/set<T> iterator"
013C316D  push aminstantservice-8.50.2.0.152D8A8                            "evt"
013C317D  push aminstantservice-8.50.2.0.152D8AC                            "exception"
013C31A4  push aminstantservice-8.50.2.0.152D8B8                            "logname"
013C31B1  push aminstantservice-8.50.2.0.152D8C0                            "am-aminstant-exception"
013C31D8  push aminstantservice-8.50.2.0.152D8D8                            "exception"
013C31E5  push aminstantservice-8.50.2.0.152D8E4                            "unhandled"
013C320C  push aminstantservice-8.50.2.0.152D8F0                            "exception_code"
013C3224  push aminstantservice-8.50.2.0.152D900                            "0x%08x"
013C3265  push aminstantservice-8.50.2.0.152D908                            "exception_flags"
013C327B  push aminstantservice-8.50.2.0.152D918                            "0x%08x"
013C32BC  push aminstantservice-8.50.2.0.152D920                            "exception_address"
013C32D2  push aminstantservice-8.50.2.0.152D934                            "0x%08x"
013C3313  push aminstantservice-8.50.2.0.152D93C                            "internal"
013C339F  push aminstantservice-8.50.2.0.152D948                            "exception_address"
013C33AC  push aminstantservice-8.50.2.0.152D95C                            "exception_flags"
013C33BD  push aminstantservice-8.50.2.0.152D96C                            "exception_code"
013C3460  push aminstantservice-8.50.2.0.152D97C                            "AmInstantService::exception: code=%s, flags=%s, address=%s"
