Text strings referenced in ntdll.text
Address    Disassembly                               Text string
77AA00C7   PUSH 77AA00D5                             ASCII [Pj
77AB15EE   ADD ESP,4                                 (Initial CPU selection)
77ABA870   SUB EAX,75004E00                          ASCII sportEnum
77ABFB01   PUSH 77ABFB28                             UNICODE API-
77AC8107   PUSH 77AB98F6                             ASCII RtlUnlockHeap
77AC8165   PUSH 77AB98EA                             ASCII RtlLockHeap
77AC952B   MOV EBX,77AC95B8                          ASCII TpIsTimerSet
77AC9530   MOV ESI,77AC2798                          ASCII dw7rtmminkernelthreadpoolntdlltimer.c
77AC9542   MOV EDI,77AC27C4                          ASCII TppTimerpValidateTimer
77AC968E   MOV EDI,77AC96DC                          UNICODE __CD__
77ACAEFD   PUSH 77AB8E18                             UNICODE S-1-
77ACB1DC   PUSH 77AB56BA                             UNICODE REGISTRYUSER
77ACB977   MOV DWORD PTR DS[ECX],77AD0E90           ASCII Actx 
77ACBC4B   MOV ECX,77AB4298                          ASCII Referencing
77ACBCB3   MOV EDX,77B9021C                          ASCII xE
77ACC44F   MOV EBX,77AB29DA                          ASCII dw7rtmminkernelntdllldrapi.c
77ACCA16   MOV DWORD PTR SS[EBP-38],77AB8A5A        UNICODE LdrpResGetMappingSize Enter
77ACCA2B   MOV DWORD PTR SS[EBP-40],77AB8A24        UNICODE LdrpResGetMappingSize Exit
77ACCBDD   MOV DWORD PTR SS[EBP-34],77AB8BC2        UNICODE LdrpResGetResourceDirectory Enter
77ACCBF2   MOV DWORD PTR SS[EBP-40],77AB8B80        UNICODE LdrpResGetResourceDirectory Exit
77ACCD7B   MOV DWORD PTR SS[EBP-48],77AB8DC8        UNICODE LdrResSearchResource Enter
77ACCD90   MOV DWORD PTR SS[EBP-50],77AB8D94        UNICODE LdrResSearchResource Exit
77ACCFA6   MOV DWORD PTR SS[EBP-120],77AB8CC2       UNICODE LdrpResSearchResourceMappedFile Enter
77ACCFC4   MOV DWORD PTR SS[EBP-138],77AB8C78       UNICODE LdrpResSearchResourceMappedFile Exit
77ACD22C   MOV DWORD PTR SS[EBP-6C],77AB8AE6        UNICODE LdrpResSearchResourceInsideDirectory Enter
77ACD241   MOV DWORD PTR SS[EBP-74],77AB8A92        UNICODE LdrpResSearchResourceInsideDirectory Exit
77ACD730   MOV DWORD PTR DS[EAX],77B9021C           ASCII xE
77ACD790   CMP EDI,77B9021C                          ASCII xE
77ACD936   MOV EDI,77B9021C                          ASCII xE
77ACDC3F   CMP EDI,77B9021C                          ASCII xE
77ACE41B   MOV EBX,77AB44AE                          ASCII LdrpHandleOneNewFormatImportDescriptor
77ACE420   MOV EDI,77AB3FEE                          ASCII dw7rtmminkernelntdllldrsnap.c
77ACE5EC   PUSH 7FFE0030                             UNICODE CWindows
77ACE609   MOV ESI,77AB3FDC                          UNICODE SysWOW64
77ACE656   MOV EAX,7FFE0030                          UNICODE CWindows
77ACE9A4   MOV EBX,77AB458A                          ASCII LdrpHandleOneOldFormatImportDescriptor
77ACE9A9   MOV EDI,77AB3FEE                          ASCII dw7rtmminkernelntdllldrsnap.c
77ACEB4D   MOV EBX,77AB2C66                          ASCII dw7rtmminkernelntdllldrfind.c
77ACF7B2   MOV EAX,77AB41FE                          ASCII Unknown
77AD0FA9   MOV DWORD PTR DS[EAX],77B9021C           ASCII xE
77AD10E7   CMP EBX,77B9021C                          ASCII xE
77AD12D2   MOV ECX,77AB42A4                          ASCII Dereferencing
77AD40D4   MOV EBX,77AC2798                          ASCII dw7rtmminkernelthreadpoolntdlltimer.c
77AD42FE   MOV EBX,77AD4194                          ASCII dw7rtmminkernelthreadpoolntdllwaiter.c
77AD442C   MOV EBX,77AD44C0                          ASCII TpSetTimer
77AD4431   MOV ESI,77AC2798                          ASCII dw7rtmminkernelthreadpoolntdlltimer.c
77AD4443   MOV EDI,77AC27C4                          ASCII TppTimerpValidateTimer
77AD4D6B   MOV EDI,77AD4DA0                          ASCII TppCleanupGroupMemberAddCallback
77AD4D70   MOV ESI,77AD4D28                          ASCII dw7rtmminkernelthreadpoolntdllcgrpmem.c
77AD4DD6   MOV EDI,77AD4E10                          ASCII TppCleanupGroupMemberCompleteCallbacks
77AD4DDB   MOV ESI,77AD4D28                          ASCII dw7rtmminkernelthreadpoolntdllcgrpmem.c
77AD4ED7   MOV EDI,77AD4FAC                          ASCII TppCallbackMayRunLongProlog
77AD4EDC   MOV EBX,77AD4E90                          ASCII dw7rtmminkernelthreadpoolntdllcallback.c
77AD4FDD   MOV EDI,77AD5048                          ASCII TpCallbackIndependent
77AD4FE2   MOV ESI,77AD4E90                          ASCII dw7rtmminkernelthreadpoolntdllcallback.c
77AD594E   MOV EBX,77AD4194                          ASCII dw7rtmminkernelthreadpoolntdllwaiter.c
77AD59C4   MOV EBX,77AD5A68                          ASCII TppWaitpExecuteCallback
77AD59C9   MOV EDI,77AD4168                          ASCII dw7rtmminkernelthreadpoolntdllwait.c
77AD5AFA   MOV EDI,77AD5B3C                          ASCII TppWaitComplete
77AD5AFF   MOV ESI,77AD4168                          ASCII dw7rtmminkernelthreadpoolntdllwait.c
77AD5B8C   MOV EBX,77AD5C28                          ASCII TppTimerpExecuteCallback
77AD5B91   MOV EDI,77AC2798                          ASCII dw7rtmminkernelthreadpoolntdlltimer.c
77AD5D1A   MOV EBX,77AD5D84                          ASCII TppTimerpUpdate
77AD5DAA   MOV EBX,77AC2798                          ASCII dw7rtmminkernelthreadpoolntdlltimer.c
77AD5E42   MOV EBX,77AD4E90                          ASCII dw7rtmminkernelthreadpoolntdllcallback.c
